country,iso,region,score,rank,interval,value
Mauritius,MUS,SSA,5.1,46,0.37,51
Mexico,MEX,AME,3,100,0.13,30
Moldova,MDA,ECA,2.9,112,0.13,29
Mongolia,MNG,AP,2.7,120,0.13,27
Montenegro,MNE,ECA,4,66,0.5,40
Morocco,MAR,MENA,3.4,80,0.37,34
Mozambique,MOZ,SSA,2.7,120,0.16,27
Myanmar,MMR,AP,1.5,180,0.26,15
Namibia,NAM,SSA,4.4,57,0.3,44
Nepal,NPL,AP,2.2,154,0.1,22
Netherlands,NLD,WE/EU,8.9,7,0.11,89
New Zealand,NZL,AP,9.5,1,0.05,95
Nicaragua,NIC,AME,2.5,134,0.21,25
Niger,NER,SSA,2.5,134,0.17,25
Nigeria,NGA,SSA,2.4,143,0.14,24
Norway,NOR,WE/EU,9,6,0.07,90
Oman,OMN,MENA,4.8,50,0.82,48
Pakistan,PAK,AP,2.5,134,0.13,25
Panama,PAN,AME,3.3,86,0.23,33
Papua New Guinea,PNG,AP,2.2,154,0.16,22
Paraguay,PRY,AME,2.2,154,0.17,22
Peru,PER,AME,3.4,80,0.16,34
Philippines,PHL,AP,2.6,129,0.19,26
Poland,POL,WE/EU,5.5,41,0.3,55
Portugal,PRT,WE/EU,6.1,32,0.42,61
Puerto Rico,PRI,AME,5.6,39,0.48,56
Qatar,QAT,MENA,7.2,22,0.79,72
Romania,ROU,WE/EU,3.6,75,0.17,36
Russia,RUS,ECA,2.4,143,0.22,24
Rwanda,RWA,SSA,5,49,0.72,50
Saint Lucia,LCA,AME,7,25,0.26,70
Saint Vincent and the Grenadines,VCT,AME,5.8,36,0.73,58
Samoa,WSM,AP,3.9,69,0.35,39
Sao Tome & Principe,STP,SSA,3,100,0.19,30
Saudi Arabia,SAU,MENA,4.4,57,0.86,44
Senegal,SEN,SSA,2.9,112,0.15,29
Serbia,SRB,ECA,3.3,86,0.2,33
Seychelles,SYC,SSA,4.8,50,0.97,48
Sierra Leone,SLE,SSA,2.5,134,0.15,25
Singapore,SGP,AP,9.2,5,0.13,92
Slovakia,SVK,WE/EU,4,66,0.36,40
Slovenia,SVN,WE/EU,5.9,35,0.39,59
Solomon Islands,SLB,AP,2.7,120,0.28,27
Somalia,SOM,SSA,1,182,0.23,10
South Africa,ZAF,SSA,4.1,64,0.21,41
Spain,ESP,WE/EU,6.2,31,0.28,62
Sri Lanka,LKA,AP,3.3,86,0.23,33
Sudan,SDN,SSA,1.6,177,0.08,16
Suriname,SUR,AME,3,100,0.37,30
Swaziland,SWZ,AP,3.1,95,0.08,31
Sweden,SWE,WE/EU,9.3,4,0.08,93
Switzerland,CHE,WE/EU,8.8,8,0.22,88
Syria,SYR,MENA,2.6,129,0.16,26
Taiwan,TWN,AP,6.1,32,0.31,61
Tajikistan,TJK,ECA,2.3,152,0.28,23
Tanzania,TZA,SSA,3,100,0.18,30
Thailand,THA,AP,3.4,80,0.15,34
Timor-Leste,TLS,AP,2.4,143,0.26,24
Togo,TGO,SSA,2.4,143,0.08,24
Tonga,TON,AP,3.1,95,0.17,31
Trinidad and Tobago,TTO,AME,3.2,91,0.32,32
Tunisia,TUN,MENA,3.8,73,0.67,38
Turkey,TUR,ECA,4.2,61,0.22,42
Turkmenistan,TKM,ECA,1.6,177,0.12,16
Uganda,UGA,SSA,2.4,143,0.13,24
Ukraine,UKR,ECA,2.3,152,0.1,23
United Arab Emirates,ARE,MENA,6.8,28,0.46,68
United Kingdom,GBR,WE/EU,7.8,16,0.15,78
United States,USA,AME,7.1,24,0.4,71
Uruguay,URY,AME,7,25,0.28,70
Uzbekistan,UZB,ECA,1.6,177,0.11,16
Vanuatu,VUT,AP,3.5,77,0.92,35
Venezuela,VEN,AME,1.9,172,0.1,19
Vietnam,VNM,AP,2.9,112,0.17,29
Yemen,YEM,MENA,2.1,164,0.12,21
Zambia,ZMB,SSA,3.2,91,0.31,32
Zimbabwe,ZWE,SSA,2.2,154,0.37,22
